hour,False,True
0,556.4431818181819,1068.4571428571428
1,283.82954545454544,693.2285714285714
2,163.9090909090909,453.8857142857143
3,102.45454545454545,282.1142857142857
4,141.52272727272728,187.0857142857143
5,570.7386363636364,174.14285714285714
6,1878.9772727272727,411.74285714285713
7,3783.568181818182,896.4
8,6395.613636363636,1677.7714285714285
9,4797.284090909091,2699.4285714285716
10,2830.7613636363635,3743.6857142857143
11,2799.0,4494.657142857143
12,3260.9772727272725,4981.142857142857
13,3382.068181818182,5140.571428571428
14,3527.409090909091,5202.8
15,3800.443181818182,5254.714285714285
16,4743.522727272727,5244.8
17,7440.193181818182,4971.428571428572
18,7217.829545454545,4539.085714285714
19,5170.875,3989.3142857142857
20,3527.409090909091,3036.657142857143
21,2406.3977272727275,2143.2571428571428
22,1823.840909090909,1675.2285714285715
23,1201.1931818181818,1204.2
