split,model,lead,factor,penalty,mean_inventory,shortage,fill_rate,cost
test,moving_average,0,0.0,2,64.60666666666667,29669.0,0.699624391281018,78720.0
test,moving_average,0,0.0,5,64.60666666666667,29669.0,0.699624391281018,167727.0
test,moving_average,0,0.0,10,64.60666666666667,29669.0,0.699624391281018,316072.0
test,moving_average,0,0.5,2,119.28666666666666,21018.0,0.7872090551061525,77822.0
test,moving_average,0,0.5,5,119.28666666666666,21018.0,0.7872090551061525,140876.0
test,moving_average,0,0.5,10,119.28666666666666,21018.0,0.7872090551061525,245966.0
test,moving_average,0,1.0,2,184.83333333333334,15671.0,0.8413432820710113,86792.0
test,moving_average,0,1.0,5,184.83333333333334,15671.0,0.8413432820710113,133805.0
test,moving_average,0,1.0,10,184.83333333333334,15671.0,0.8413432820710113,212160.0
test,moving_average,0,1.5,2,255.58666666666667,11868.0,0.8798457068227147,100412.0
test,moving_average,0,1.5,5,255.58666666666667,11868.0,0.8798457068227147,136016.0
test,moving_average,0,1.5,10,255.58666666666667,11868.0,0.8798457068227147,195356.0
test,moving_average,0,2.0,2,330.52,9319.0,0.905652354388345,117794.0
test,moving_average,0,2.0,5,330.52,9319.0,0.905652354388345,145751.0
test,moving_average,0,2.0,10,330.52,9319.0,0.905652354388345,192346.0
test,moving_average,0,3.0,2,485.6166666666667,5816.0,0.941117511870653,157317.0
test,moving_average,0,3.0,5,485.6166666666667,5816.0,0.941117511870653,174765.0
test,moving_average,0,3.0,10,485.6166666666667,5816.0,0.941117511870653,203845.0
test,moving_average,1,0.0,2,130.32666666666665,34524.0,0.6504712826379678,108146.0
test,moving_average,1,0.0,5,130.32666666666665,34524.0,0.6504712826379678,211718.0
test,moving_average,1,0.0,10,130.32666666666665,34524.0,0.6504712826379678,384338.0
test,moving_average,1,0.5,2,194.93666666666667,27628.0,0.7202879329371387,113737.0
test,moving_average,1,0.5,5,194.93666666666667,27628.0,0.7202879329371387,196621.0
test,moving_average,1,0.5,10,194.93666666666667,27628.0,0.7202879329371387,334761.0
test,moving_average,1,1.0,2,271.4033333333333,22742.0,0.7697548925313598,126905.0
test,moving_average,1,1.0,5,271.4033333333333,22742.0,0.7697548925313598,195131.0
test,moving_average,1,1.0,10,271.4033333333333,22742.0,0.7697548925313598,308841.0
test,moving_average,1,1.5,2,357.85333333333335,19492.0,0.8026586212831441,146340.0
test,moving_average,1,1.5,5,357.85333333333335,19492.0,0.8026586212831441,204816.0
test,moving_average,1,1.5,10,357.85333333333335,19492.0,0.8026586212831441,302276.0
test,moving_average,1,2.0,2,449.18,16965.0,0.8282425359156854,168684.0
test,moving_average,1,2.0,5,449.18,16965.0,0.8282425359156854,219579.0
test,moving_average,1,2.0,10,449.18,16965.0,0.8282425359156854,304404.0
test,moving_average,1,3.0,2,640.8733333333333,13286.0,0.8654895568627053,218834.0
test,moving_average,1,3.0,5,640.8733333333333,13286.0,0.8654895568627053,258692.0
test,moving_average,1,3.0,10,640.8733333333333,13286.0,0.8654895568627053,325122.0
test,naive,0,0.0,2,141.86,26877.0,0.7278912253348587,96312.0
test,naive,0,0.0,5,141.86,26877.0,0.7278912253348587,176943.0
test,naive,0,0.0,10,141.86,26877.0,0.7278912253348587,311328.0
test,naive,0,0.5,2,198.99666666666667,18866.0,0.8089963856519494,97431.0
test,naive,0,0.5,5,198.99666666666667,18866.0,0.8089963856519494,154029.0
test,naive,0,0.5,10,198.99666666666667,18866.0,0.8089963856519494,248359.0
test,naive,0,1.0,2,267.47,14352.0,0.8546971338321201,108945.0
test,naive,0,1.0,5,267.47,14352.0,0.8546971338321201,152001.0
test,naive,0,1.0,10,267.47,14352.0,0.8546971338321201,223761.0
test,naive,0,1.5,2,340.30333333333334,11194.0,0.8866694339546233,124479.0
test,naive,0,1.5,5,340.30333333333334,11194.0,0.8866694339546233,158061.0
test,naive,0,1.5,10,340.30333333333334,11194.0,0.8866694339546233,214031.0
test,naive,0,2.0,2,415.38666666666666,8687.0,0.9120508641025381,141990.0
test,naive,0,2.0,5,415.38666666666666,8687.0,0.9120508641025381,168051.0
test,naive,0,2.0,10,415.38666666666666,8687.0,0.9120508641025381,211486.0
test,naive,0,3.0,2,570.45,5178.0,0.947576766930234,181491.0
