split,model,lead,factor,penalty,mean_inventory,shortage,fill_rate,cost,policy
test,moving_average,0,1.0,2,184.83333333333334,15671.0,0.8413432820710113,86792.0,A
test,ridge,0,1.0,2,177.0,18303.0,0.8146963238941816,89706.0,B
test,ridge,0,0.0,2,56.83,32301.0,0.6729774331041883,81651.0,C
test,moving_average,0,1.0,5,184.83333333333334,15671.0,0.8413432820710113,133805.0,A
test,ridge,0,1.0,5,177.0,18303.0,0.8146963238941816,144615.0,B
test,ridge,0,0.5,5,113.03,24133.0,0.7556720966255961,154574.0,C
test,moving_average,0,1.0,10,184.83333333333334,15671.0,0.8413432820710113,212160.0,A
test,ridge,0,1.0,10,177.0,18303.0,0.8146963238941816,236130.0,B
test,ridge,0,1.0,10,177.0,18303.0,0.8146963238941816,236130.0,C
test,moving_average,1,1.0,2,271.4033333333333,22742.0,0.7697548925313598,126905.0,A
test,ridge,1,1.0,2,259.06666666666666,25148.0,0.745396009030808,128016.0,B
test,ridge,1,0.0,2,119.90333333333334,36675.0,0.6286940763164023,109321.0,C
test,moving_average,1,1.0,5,271.4033333333333,22742.0,0.7697548925313598,195131.0,A
test,ridge,1,1.0,5,259.06666666666666,25148.0,0.745396009030808,203460.0,B
test,ridge,1,0.0,5,119.90333333333334,36675.0,0.6286940763164023,219346.0,C
test,moving_average,1,1.0,10,271.4033333333333,22742.0,0.7697548925313598,308841.0,A
test,ridge,1,1.0,10,259.06666666666666,25148.0,0.745396009030808,329200.0,B
test,ridge,1,0.5,10,185.1,30325.0,0.6929829001852733,358780.0,C
