product_id,revenue,active_weeks,description,active_share,cumulative_share,abc
22423,238235.15,65,REGENCY CAKESTAND 3 TIER,0.8125,0.019884781404912313,A
85123A,199404.04,78,WHITE HANGING HEART T-LIGHT HOLDER,0.975,0.03652844522469873,A
85099B,116000.83,78,JUMBO BAG RED WHITE SPOTTY ,0.975,0.046210690465748994,A
47566,98674.76000000001,77,PARTY BUNTING,0.9625,0.05444678003012345,A
84879,87474.89,78,ASSORTED COLOUR BIRD ORNAMENT,0.975,0.061748049662538114,A
23166,78189.78,7,MEDIUM CERAMIC TOP STORAGE JAR,0.0875,0.06827431870133523,A
22086,61426.38,57,PAPER CHAIN KIT 50'S CHRISTMAS ,0.7125,0.07340139645957147,A
22502,59356.03,56,PICNIC BASKET WICKER SMALL,0.7,0.07835566824361936,A
48138,54311.91,77,DOOR MAT UNION FLAG,0.9625,0.08288892229128308,A
79321,54033.94,71,CHILLI LIGHTS,0.8875,0.0873989750074593,A
21621,52414.13,76,VINTAGE UNION JACK BUNTING,0.95,0.0917738269870209,A
84347,50491.35,51,ROTATING SILVER ANGELS T-LIGHT HLDR,0.6375,0.09598819022262622,A
21623,48470.47,67,VINTAGE UNION JACK MEMOBOARD,0.8375,0.10003387659822345,A
85099F,48244.16,77,JUMBO BAG STRAWBERRY,0.9625,0.10406067354931825,A
22386,46374.24,72,JUMBO BAG PINK WITH WHITE SPOTS,0.9,0.10793139382388285,A
82484,46159.049999999996,62,WOOD BLACK BOARD ANT WHITE FINISH,0.775,0.111784152827365,A
21137,44754.95,74,BLACK RECORD COVER FRAME,0.925,0.11551971576817276,A
21843,44346.03,78,RETRO SPOT CAKE STAND,0.975,0.11922114736936883,A
20685,44260.94,77,RED SPOTTY COIR DOORMAT,0.9625,0.12291547676062758,A
85099C,43875.71,78,JUMBO  BAG BAROQUE BLACK WHITE,0.975,0.12657765214631406,A
22189,43829.51,70,CREAM HEART CARD HOLDER,0.875,0.130235971355022,A
20725,43775.09,78,LUNCH BAG RED SPOTTY,0.975,0.13388974828773056,A
22197,42764.72,78,"POPCORN HOLDER , SMALL ",0.975,0.13745919263312745,A
21931,41876.8,78,JUMBO STORAGE BAG SUKI,0.975,0.1409545249295465,A
22470,41285.08,52,HEART OF WICKER LARGE,0.65,0.14440046811250803,A
15056N,40448.51,78,EDWARDIAN PARASOL NATURAL,0.975,0.14777658527869617,A
21754,39283.83,78,HOME BUILDING BLOCK WORD,0.975,0.1510554900595303,A
22411,39242.69,72,JUMBO SHOPPER VINTAGE RED PAISLEY,0.9,0.1543309610065788,A
21232,38740.35,78,STRAWBERRY CERAMIC TRINKET BOX,0.975,0.15756450312368367,A
48185,38271.58,78,DOOR MAT FAIRY CAKE,0.975,0.1607589183991819,A
48194,36881.43,78,DOORMAT HEARTS,0.975,0.16383730197713242,A
21733,36440.19,78,RED HANGING HEART T-LIGHT HOLDER,0.975,0.1668788565609269,A
22469,36196.34,53,HEART OF WICKER SMALL,0.6625,0.16990005770843972,A
84946,36195.16,78,ANTIQUE SILVER TEA GLASS ETCHED,0.975,0.1729211603648522,A
22112,36132.14,78,CHOCOLATE HOT WATER BOTTLE,0.975,0.17593700292877143,A
21929,35806.43,73,JUMBO BAG PINK VINTAGE PAISLEY,0.9125,0.17892565944499206,A
22114,35442.58,60,HOT WATER BOTTLE TEA AND SYMPATHY,0.75,0.1818839464808309,A
22178,35402.04,78,VICTORIAN GLASS HANGING T-LIGHT,0.975,0.18483884976310458,A
22090,34832.44,78,PAPER BUNTING RETRO SPOTS,0.975,0.1877462102227165,A
21212,33965.42,78,PACK OF 72 RETRO SPOT CAKE CASES,0.975,0.19058120309436472,A
20914,33877.3,78,SET/5 RED SPOTTY LID GLASS BOWLS,0.975,0.19340884085096205,A
84078A,33689.72,70,SET/4 WHITE RETRO STORAGE CUBES ,0.875,0.1962208218612903,A
