product_id,revenue,active_weeks,description,active_share,mean,std,cv
22423,238235.15,65,REGENCY CAKESTAND 3 TIER,0.8125,235.2125,230.70567000159758,0.9808393261480473
85123A,199404.04,78,WHITE HANGING HEART T-LIGHT HOLDER,0.975,913.3,603.7502501506414,0.6610645463162612
85099B,116000.83,78,JUMBO BAG RED WHITE SPOTTY ,0.975,791.375,456.0066448272243,0.5762206852973929
47566,98674.76000000001,77,PARTY BUNTING,0.9625,236.2375,236.66700655915452,1.0018181133780815
84879,87474.89,78,ASSORTED COLOUR BIRD ORNAMENT,0.975,672.0,703.4794896832908,1.0468444786953732
48138,54311.91,77,DOOR MAT UNION FLAG,0.9625,102.5625,91.65660234355492,0.893665836378354
79321,54033.94,71,CHILLI LIGHTS,0.8875,138.3125,223.85877067664953,1.6184999235546282
21621,52414.13,76,VINTAGE UNION JACK BUNTING,0.95,74.85,78.95473787500907,1.0548395173681908
21623,48470.47,67,VINTAGE UNION JACK MEMOBOARD,0.8375,85.05,263.22844196292283,3.094984620375342
85099F,48244.16,77,JUMBO BAG STRAWBERRY,0.9625,328.7875,248.82151061668606,0.7567851898770058
22386,46374.24,72,JUMBO BAG PINK WITH WHITE SPOTS,0.9,301.75,212.62830824787756,0.7046505658587492
21137,44754.95,74,BLACK RECORD COVER FRAME,0.925,162.275,247.34094620763076,1.5242085731482407
21843,44346.03,78,RETRO SPOT CAKE STAND,0.975,51.75,50.2904223712476,0.9717956013767652
20685,44260.94,77,RED SPOTTY COIR DOORMAT,0.9625,81.475,84.71814400735319,1.039805388246127
85099C,43875.71,78,JUMBO  BAG BAROQUE BLACK WHITE,0.975,289.6,178.19272740846023,0.6153063791728599
22189,43829.51,70,CREAM HEART CARD HOLDER,0.875,187.3625,484.509754673131,2.585948387073886
20725,43775.09,78,LUNCH BAG RED SPOTTY,0.975,306.9,152.55134848322592,0.4970718425650894
22197,42764.72,78,"POPCORN HOLDER , SMALL ",0.975,602.725,781.2196238145273,1.2961460430785636
21931,41876.8,78,JUMBO STORAGE BAG SUKI,0.975,250.125,134.45335881339125,0.5375446629221039
15056N,40448.51,78,EDWARDIAN PARASOL NATURAL,0.975,98.75,116.38320597453652,1.178564111134547
21754,39283.83,78,HOME BUILDING BLOCK WORD,0.975,80.1625,41.68764008004097,0.5200391714335378
22411,39242.69,72,JUMBO SHOPPER VINTAGE RED PAISLEY,0.9,235.6125,155.7038322780655,0.6608470784787118
21232,38740.35,78,STRAWBERRY CERAMIC TRINKET BOX,0.975,373.4625,274.4181851629029,0.7347944844874731
48185,38271.58,78,DOOR MAT FAIRY CAKE,0.975,70.95,126.97801065489021,1.7896830254389036
48194,36881.43,78,DOORMAT HEARTS,0.975,72.6625,90.60038054940057,1.2468657223382154
