week,quantity,revenue
2009-12-07,111102,222326.89
2009-12-14,121722,226513.31
2009-12-21,20486,38143.42
2009-12-28,0,0.0
2010-01-04,65646,112861.73
2010-01-11,71335,144591.23
2010-01-18,56558,111902.16
2010-01-25,63925,115266.19
2010-02-01,54681,103622.13
2010-02-08,41893,74480.2
2010-02-15,69896,127005.68000000001
2010-02-22,77041,142717.86000000002
2010-03-01,83737,138295.13
2010-03-08,64071,118167.48
2010-03-15,82206,142848.96
2010-03-22,118827,148183.59
2010-03-29,69378,147640.94
2010-04-05,69646,119787.28
2010-04-12,60051,112288.92
2010-04-19,73192,144211.25
2010-04-26,93805,168403.05
2010-05-03,66459,117273.84
2010-05-10,93039,150568.84
2010-05-17,76814,130586.63
2010-05-24,96600,143748.77
2010-05-31,52629,96174.54
2010-06-07,115645,196969.33
2010-06-14,64437,109751.63
2010-06-21,56950,108076.04
2010-06-28,84543,139889.9
2010-07-05,58751,118122.66
2010-07-12,74150,138752.61
2010-07-19,73390,132102.45
2010-07-26,69944,146121.36
2010-08-02,71518,118949.04
2010-08-09,79042,137188.8
2010-08-16,84187,133081.75
2010-08-23,76146,132888.1
2010-08-30,70404,114347.24
2010-09-06,59259,105352.11
2010-09-13,83031,133934.68
2010-09-20,114401,196542.04
2010-09-27,211227,263183.57
2010-10-04,149497,236335.48
2010-10-11,135606,258385.96
2010-10-18,113398,213613.05
2010-10-25,96005,182607.76
2010-11-01,138128,238413.63
2010-11-08,162406,339575.31
2010-11-15,143391,294973.09
2010-11-22,136142,276862.13
2010-11-29,205152,434794.3
2010-12-06,190142,488311.43
2010-12-13,96172,193356.23
2010-12-20,28428,70179.34
2010-12-27,0,0.0
2011-01-03,65920,114090.93
2011-01-10,66389,143383.73
2011-01-17,123582,177313.73
2011-01-24,49316,95554.14
2011-01-31,62225,106749.18000000001
2011-02-07,44149,89759.37
2011-02-14,61840,107929.05
2011-02-21,63813,113921.89
2011-02-28,50483,94054.57
2011-03-07,59357,113253.77
2011-03-14,73960,130393.65
2011-03-21,68578,129568.24
2011-03-28,83882,152564.7
2011-04-04,56787,103516.08
2011-04-11,81047,133214.49
2011-04-18,69934,127437.44
2011-04-25,48547,78098.28
2011-05-02,68840,121349.56
2011-05-09,78384,157593.35
2011-05-16,89294,177978.27
2011-05-23,71925,138020.95
2011-05-30,48293,96480.77
2011-06-06,83591,191470.24
2011-06-13,72345,136810.5
2011-06-20,61247,106555.03
2011-06-27,58940,109952.39
2011-07-04,81874,152610.38
2011-07-11,67005,113515.89
2011-07-18,91469,155440.43
2011-07-25,84441,140041.5
2011-08-01,90474,146277.71
2011-08-08,67139,124452.36
2011-08-15,75260,131433.83
2011-08-22,80289,132771.49
2011-08-29,65604,123115.39
2011-09-05,89958,151231.32
2011-09-12,107145,203747.32
2011-09-19,135001,271466.48
2011-09-26,108628,185100.02
2011-10-03,148450,270291.94
2011-10-10,96832,181722.47
2011-10-17,103879,196490.1
2011-10-24,127477,205901.82
2011-10-31,141349,261813.25
2011-11-07,160233,324823.59
2011-11-14,157529,322263.5
2011-11-21,134267,266844.85
2011-11-28,139433,280876.37
