variable,category,n_accidents,n_severe,ksi_rate,ci_low,ci_high
light,夜间-无/弱照明,23258,8014,0.3445696104566171,0.33846199534204263,0.3506772255711916
light,夜间-有照明,77590,19828,0.25554839541177987,0.2524793168203488,0.25861747400321095
light,白天,271730,63809,0.23482501012034004,0.2332311880549109,0.2364188321857692
weather,雾,1690,466,0.2757396449704142,0.25443326431915614,0.29704602562167226
weather,晴,321480,79278,0.24660321015304218,0.24511319619398478,0.24809322411209958
weather,雨,47708,11537,0.24182527039490231,0.23798292891165507,0.24566761187814956
weather,雪,1700,370,0.21764705882352942,0.19803110765100118,0.23726300999605765
surface,积水,601,161,0.26788685524126454,0.23248030293638888,0.3032934075461402
surface,湿滑,90003,22730,0.25254713731764494,0.2497086254893131,0.2553856491459768
surface,干燥,277055,67640,0.244139250329357,0.24253964524636248,0.2457388554123515
surface,结冰,3895,895,0.22978177150192555,0.21656981840178277,0.24299372460206833
surface,积雪,1024,225,0.2197265625,0.19436530491100978,0.24508782008899022
road_type,单幅路,277731,72063,0.2594704948313296,0.2578402265989256,0.26110076306373364
road_type,双向分隔路,57851,13193,0.22805137335568962,0.22463227824815465,0.23147046846322458
road_type,匝道,6548,1184,0.18081857055589493,0.17149648035149617,0.19014066076029368
road_type,单行路,8211,1421,0.17306052855924978,0.16487787961517614,0.18124317750332342
road_type,环岛,22237,3790,0.1704366596213518,0.16549441478743096,0.17537890445527263
area,乡村,125988,37047,0.29405181445851986,0.2915359350221168,0.29656769389492293
area,城市,246590,54604,0.22143639239223,0.21979753981072914,0.22307524497373088
speed_limit,60,47396,16340,0.3447548316313613,0.34047583129847075,0.3490338319642518
speed_limit,50,17032,4856,0.28511038046031,0.27833007503590523,0.2918906858847148
speed_limit,40,33489,8630,0.2576965570784437,0.2530121996311045,0.2623809145257829
speed_limit,70,21440,5285,0.24650186567164178,0.24073294088475336,0.2522707904585302
speed_limit,30,196500,44914,0.22856997455470737,0.2267133133913669,0.23042663571804783
speed_limit,20,56721,11626,0.2049681775709173,0.20164602473816073,0.20829033040367384
period,深夜 0-5,20691,6455,0.31197138852641243,0.3056585313586603,0.3182842456941646
period,夜间 20-23,44901,12690,0.2826217678893566,0.27845686416965243,0.2867866716090608
period,晚高峰 16-19,109195,26325,0.2410824671459316,0.23854538340710546,0.24361955088475773
period,白天 10-15,135852,32604,0.23999646674322056,0.23772538229792897,0.24226755118851215
period,早高峰 6-9,61939,13577,0.21919953502639694,0.21594143943228697,0.2224576306205069
is_motorway,0,360915,89119,0.24692517628804567,0.24551830179475248,0.24833205078133885
is_motorway,1,11663,2532,0.21709680185201063,0.20961456106838117,0.2245790426356401
year,2024,91465,23567,0.25766140053572406,0.25482704513826426,0.26049575593318386
year,2023,93742,23382,0.2494292846322886,0.24665942033556595,0.2521991489290113
year,2022,95983,23426,0.24406405300938708,0.24134665458140694,0.2467814514373672
year,2021,91388,21276,0.2328095592419136,0.2300694777414244,0.2355496407424028
