feature,coef,or_value,ci_low_or,ci_high_or,p_value
period_深夜 0-5,0.2810039021575962,1.3244587721720325,1.2672849773414816,1.3842119732717106,9.459584359019758e-36
area_乡村,0.1810335324475381,1.1984553657610997,1.1682152961928969,1.2294782206690167,7.941305957315395e-44
light_夜间-无/弱照明,0.1585412580422219,1.1718002694128704,1.1256602677650014,1.2198315164151587,1.0322759665336837e-14
period_夜间 20-23,0.14191747514839628,1.1524815362447405,1.1115528595343231,1.194917254714708,1.443980835535886e-14
is_weekend,0.1279319402013811,1.1364756517608514,1.1140242476174753,1.1593795285941957,3.222445088041221e-36
light_夜间-有照明,0.1052838334678395,1.1110259119444634,1.0790517104257185,1.1439475653349618,1.5880895687477205e-12
speed_limit,0.01231001569549398,1.012386095800625,1.011463384540498,1.0133096488075544,2.8030632835458158e-154
period_晚高峰 16-19,-0.0019415104005823067,0.9980603731115855,0.9748777208909699,1.021794310229235,0.87137247274081
weather_雨,-0.0734717532706276,0.9291623912194515,0.9044134296343563,0.9545885996028259,9.606600079602675e-08
period_早高峰 6-9,-0.10264699416738148,0.90244548577996,0.878525334209727,0.9270169260824156,6.933416834763495e-14
weather_雾,-0.13601338655916737,0.872830948207382,0.767480916431853,0.9926420942041015,0.038219391606870254
road_type_双向分隔路,-0.29112489184734003,0.7474223252337698,0.7269837475102128,0.768435517535428,4.1847465705726345e-94
weather_雪,-0.3112068677918371,0.7325623166446845,0.6447113154482519,0.8323842546407135,1.7992959204505742e-06
road_type_单行路,-0.3459689314241807,0.7075344688533195,0.6615565810398555,0.7567077993974184,5.996519829111585e-24
is_motorway,-0.40875442023243214,0.6644773944908262,0.6268688813749912,0.7043422012285132,5.06721142078152e-43
road_type_匝道,-0.5124191825729649,0.5990446261402049,0.5561996658903956,0.6451900030054559,9.884233808177769e-42
road_type_环岛,-0.5359481353692652,0.5851142595397681,0.5610149505059057,0.6102487935625296,1.1423607692253412e-137
const,-1.6348309548523414,0.19498532983723713,0.1888940910160826,0.2012729919036968,0.0
