light,weather,road_type,area,speed_limit,is_motorway,is_weekend,period,n,ksi_rate,model_score
夜间-无/弱照明,晴,单幅路,乡村,60,0,1,深夜 0-5,546,0.4139194139194139,0.46313716261062865
夜间-无/弱照明,晴,单幅路,乡村,60,0,0,深夜 0-5,629,0.3783783783783784,0.43152023363518527
夜间-无/弱照明,晴,单幅路,乡村,60,0,1,夜间 20-23,694,0.4092219020172911,0.4287860375416489
夜间-无/弱照明,晴,单幅路,乡村,60,0,0,夜间 20-23,1598,0.3710888610763454,0.3977766441180613
夜间-无/弱照明,晴,单幅路,乡村,60,0,1,晚高峰 16-19,356,0.38764044943820225,0.39396759635667333
夜间-无/弱照明,雨,单幅路,乡村,60,0,0,夜间 20-23,409,0.32273838630806845,0.38031545413679974
夜间-无/弱照明,晴,单幅路,乡村,50,0,0,夜间 20-23,218,0.43119266055045874,0.3686906839790855
夜间-无/弱照明,晴,单幅路,乡村,60,0,0,晚高峰 16-19,1355,0.37047970479704795,0.36387221074721127
白天,晴,单幅路,乡村,60,0,0,夜间 20-23,338,0.44970414201183434,0.36048055622203773
夜间-无/弱照明,晴,双向分隔路,乡村,70,0,0,夜间 20-23,228,0.3815789473684211,0.3582971945232425
白天,晴,单幅路,乡村,60,0,1,白天 10-15,3523,0.43116661935850126,0.3572627415887246
白天,晴,单幅路,乡村,60,0,1,晚高峰 16-19,1303,0.45203376822716806,0.35681704383013163
夜间-无/弱照明,雨,单幅路,乡村,60,0,0,晚高峰 16-19,427,0.32786885245901637,0.3470416628786957
夜间-无/弱照明,晴,单幅路,乡村,60,0,0,早高峰 6-9,257,0.41245136186770426,0.3408963762800231
白天,雨,单幅路,乡村,60,0,1,白天 10-15,368,0.33695652173913043,0.3405742327724941
夜间-无/弱照明,晴,单幅路,乡村,40,0,0,夜间 20-23,280,0.35,0.3405289205603611
夜间-无/弱照明,晴,单幅路,乡村,50,0,0,晚高峰 16-19,264,0.3560606060606061,0.33588267962168733
白天,晴,单幅路,乡村,60,0,1,早高峰 6-9,703,0.35704125177809387,0.33405275309667454
夜间-有照明,晴,单幅路,乡村,30,0,0,深夜 0-5,209,0.31100478468899523,0.3322093872303684
夜间-有照明,晴,单幅路,乡村,30,0,1,夜间 20-23,303,0.30363036303630364,0.32973945387087883
白天,晴,单幅路,乡村,50,0,1,白天 10-15,736,0.40625,0.3295182603995078
白天,晴,单幅路,乡村,50,0,1,晚高峰 16-19,276,0.37681159420289856,0.3290894529698993
夜间-有照明,晴,单幅路,乡村,40,0,0,夜间 20-23,251,0.3466135458167331,0.3286724548054167
白天,晴,单幅路,乡村,60,0,0,白天 10-15,6873,0.3459915611814346,0.3284516263443836
